Token,Strategy,TF,PF,WR%,Trades,MaxDD%,NetPft%,Sharpe,AvgRR,Status
SOL,Supertrend,1H,2.94,70.6,17,6.6,21.0,0.91,1.16,FAIL (17 trades)
ETH,Supertrend,1H,2.14,73.7,19,5.0,17.2,0.77,1.08,FAIL (19 trades)
JTO,Supertrend,1H,4.85,66.7,9,4.8,19.5,0.78,1.48,FAIL (9 trades)
WIF,Supertrend,1H,1.88,70.6,17,12.6,14.3,0.57,1.37,FAIL (17 trades)
BONK,Supertrend,1H,2.00,72.2,18,6.1,17.0,0.70,1.15,FAIL (18 trades)
ORCA,Supertrend,1H,99.00,100.0,8,0.0,17.8,1.16,1.25,FAIL (8 trades)
RENDER,Supertrend,1H,1.84,63.9,36,8.6,33.0,0.90,1.28,PASS
PYTH,Supertrend,1H,0.48,44.4,9,10.1,-5.7,-0.33,0.89,"FAIL (PF 0.48, 9 trades, NP -5.7%)"
SOL,Donchian,1H,3.03,75.0,32,4.5,44.3,1.39,0.99,PASS
ETH,Donchian,1H,1.77,64.9,37,6.5,27.3,0.90,1.08,PASS
JTO,Donchian,1H,1.32,50.0,10,4.8,3.8,0.24,1.56,"FAIL (PF 1.32, 10 trades)"
WIF,Donchian,1H,3.43,81.0,21,9.7,31.1,1.02,1.55,FAIL (21 trades)
BONK,Donchian,1H,2.36,72.5,40,9.8,45.4,1.18,1.16,PASS
ORCA,Donchian,1H,5.21,72.7,11,4.3,64.4,0.56,1.26,FAIL (11 trades)
RENDER,Donchian,1H,2.65,73.8,42,6.9,51.2,1.34,1.12,PASS
PYTH,Donchian,1H,2.13,66.7,9,4.4,8.3,0.37,1.17,FAIL (9 trades)
SOL,EMA Ribbon,1H,2.22,65.2,66,10.0,61.2,1.32,0.91,PASS
ETH,EMA Ribbon,1H,2.00,64.3,70,8.8,53.1,1.24,0.85,PASS
JTO,EMA Ribbon,1H,1.31,55.6,9,3.8,2.8,0.22,1.24,"FAIL (PF 1.31, 9 trades)"
WIF,EMA Ribbon,1H,1.55,71.4,21,11.1,13.8,0.44,1.50,FAIL (21 trades)
BONK,EMA Ribbon,1H,3.24,71.9,64,7.3,121.5,1.86,1.13,PASS
ORCA,EMA Ribbon,1H,10.11,81.8,11,2.6,71.1,0.60,1.21,FAIL (11 trades)
RENDER,EMA Ribbon,1H,2.47,67.1,73,12.1,101.0,1.45,1.09,PASS
PYTH,EMA Ribbon,1H,2.33,64.6,127,7.2,150.0,1.37,0.85,PASS
SOL,VWAP Dev,1H,1.83,70.0,50,7.5,32.1,0.96,0.88,PASS
ETH,VWAP Dev,1H,2.09,71.4,49,6.8,35.3,1.07,0.86,PASS
JTO,VWAP Dev,1H,1.24,50.0,2,2.4,0.6,0.09,1.50,"FAIL (PF 1.24, 2 trades)"
WIF,VWAP Dev,1H,1.55,64.7,17,5.3,11.8,0.45,1.00,FAIL (17 trades)
BONK,VWAP Dev,1H,1.71,65.6,61,12.2,42.4,0.94,1.07,PASS
ORCA,VWAP Dev,1H,0.11,71.4,7,58.5,-52.3,-0.40,1.09,"FAIL (PF 0.11, 7 trades, DD 58.5%, NP -52.3%)"
RENDER,VWAP Dev,1H,4.40,80.0,40,2.7,85.4,2.00,1.18,PASS
PYTH,VWAP Dev,1H,1.48,66.3,104,9.9,42.4,0.63,0.91,PASS
SOL,Stoch RSI,1H,2.18,72.2,54,7.6,50.7,1.29,0.95,PASS
ETH,Stoch RSI,1H,2.27,68.1,47,7.9,39.5,1.19,0.86,PASS
JTO,Stoch RSI,1H,0.36,33.3,3,9.4,-6.0,-0.33,1.10,"FAIL (PF 0.36, 3 trades, NP -6.0%)"
WIF,Stoch RSI,1H,0.38,71.4,7,28.0,-21.1,-0.32,1.71,"FAIL (PF 0.38, 7 trades, NP -21.1%)"
BONK,Stoch RSI,1H,1.89,68.3,41,5.6,37.7,0.98,1.18,PASS
ORCA,Stoch RSI,1H,171.57,66.7,3,0.2,32.2,0.51,0.37,FAIL (3 trades)
RENDER,Stoch RSI,1H,4.53,80.4,46,9.1,101.3,2.05,1.25,PASS
PYTH,Stoch RSI,1H,1.68,65.6,122,12.5,70.9,0.81,0.91,PASS
SOL,FVG,1H,0.97,52.5,59,14.1,-1.2,-0.02,0.52,"FAIL (PF 0.97, NP -1.2%)"
ETH,FVG,1H,1.51,60.9,46,6.1,11.7,0.54,0.50,PASS
JTO,FVG,1H,5.87,33.3,3,0.6,2.9,0.42,0.70,FAIL (3 trades)
WIF,FVG,1H,0.17,33.3,3,4.9,-4.9,-0.57,0.72,"FAIL (PF 0.17, 3 trades, NP -4.9%)"
BONK,FVG,1H,1.44,62.7,75,7.4,26.7,0.73,0.70,PASS
ORCA,FVG,1H,0.22,40.0,5,3.4,-3.0,-0.54,0.27,"FAIL (PF 0.22, 5 trades, NP -3.0%)"
RENDER,FVG,1H,2.13,62.2,98,7.7,90.6,1.66,0.77,PASS
PYTH,FVG,1H,1.61,60.0,20,5.1,6.0,0.29,0.53,FAIL (20 trades)
SOL,MACD Vol,1H,2.71,70.6,17,6.8,16.1,0.82,0.94,FAIL (17 trades)
ETH,MACD Vol,1H,3.49,69.2,13,3.1,15.8,0.89,0.96,FAIL (13 trades)
JTO,MACD Vol,1H,1.67,60.0,5,2.7,2.2,0.26,0.50,FAIL (5 trades)
WIF,MACD Vol,1H,0.93,50.0,8,6.1,-0.7,-0.02,0.88,"FAIL (PF 0.93, 8 trades, NP -0.7%)"
BONK,MACD Vol,1H,1.99,71.4,7,2.8,5.4,0.43,1.08,FAIL (7 trades)
ORCA,MACD Vol,1H,2.25,33.3,9,11.9,34.9,0.38,0.65,FAIL (9 trades)
RENDER,MACD Vol,1H,1.50,63.2,19,5.3,9.8,0.44,1.12,FAIL (19 trades)
PYTH,MACD Vol,1H,99.00,100.0,2,0.0,2.4,0.48,0.58,FAIL (2 trades)
SOL,Liq Sweep,1H,2.01,75.0,44,6.1,34.1,1.04,0.93,PASS
ETH,Liq Sweep,1H,3.43,75.0,52,4.9,77.3,1.80,0.98,PASS
JTO,Liq Sweep,1H,0.00,0.0,0,0.0,0.0,0.00,0.00,FAIL (no trades)
WIF,Liq Sweep,1H,0.00,0.0,0,0.0,0.0,0.00,0.00,FAIL (no trades)
BONK,Liq Sweep,1H,10.21,90.0,10,2.2,22.2,1.25,1.28,FAIL (10 trades)
ORCA,Liq Sweep,1H,0.00,0.0,1,2.1,-2.1,-0.50,1.00,"FAIL (PF 0.00, WR 0.0%, 1 trades, NP -2.1%)"
RENDER,Liq Sweep,1H,2.77,76.0,25,5.1,29.8,1.17,0.97,FAIL (25 trades)
PYTH,Liq Sweep,1H,8.94,93.3,15,2.3,21.6,0.87,0.83,FAIL (15 trades)
SOL,ST+ADX,1H,3.57,71.4,7,2.6,7.1,0.63,0.92,FAIL (7 trades)
ETH,ST+ADX,1H,99.00,100.0,8,0.0,14.9,1.14,0.97,FAIL (8 trades)
JTO,ST+ADX,1H,4.50,62.5,8,4.8,17.8,0.73,1.40,FAIL (8 trades)
WIF,ST+ADX,1H,1.88,70.6,17,12.6,14.3,0.57,1.37,FAIL (17 trades)
BONK,ST+ADX,1H,3.66,87.5,8,4.0,12.1,0.78,1.06,FAIL (8 trades)
ORCA,ST+ADX,1H,99.00,100.0,7,0.0,15.1,1.05,1.13,FAIL (7 trades)
RENDER,ST+ADX,1H,2.87,76.9,13,5.3,17.5,0.88,1.22,FAIL (13 trades)
PYTH,ST+ADX,1H,1.85,75.0,4,2.2,1.9,0.19,0.81,FAIL (4 trades)
SOL,Donch+ADX,1H,5.23,77.8,18,3.8,30.2,1.36,0.97,FAIL (18 trades)
ETH,Donch+ADX,1H,2.26,69.6,23,6.5,21.8,0.87,1.10,FAIL (23 trades)
JTO,Donch+ADX,1H,0.97,40.0,10,8.7,-0.5,0.01,1.44,"FAIL (PF 0.97, 10 trades, NP -0.5%)"
WIF,Donch+ADX,1H,4.34,80.0,20,9.7,42.8,1.08,1.55,FAIL (20 trades)
BONK,Donch+ADX,1H,6.43,87.0,23,2.8,43.8,1.53,1.11,FAIL (23 trades)
ORCA,Donch+ADX,1H,5.03,70.0,10,4.3,60.0,0.54,1.19,FAIL (10 trades)
RENDER,Donch+ADX,1H,2.62,71.4,21,4.5,24.1,0.96,1.15,FAIL (21 trades)
PYTH,Donch+ADX,1H,1.45,60.0,5,3.1,2.1,0.14,1.10,FAIL (5 trades)
SOL,EMA+ADX,1H,3.61,69.6,23,2.5,27.1,1.16,0.82,FAIL (23 trades)
ETH,EMA+ADX,1H,2.58,70.6,34,4.0,34.8,1.21,0.89,PASS
JTO,EMA+ADX,1H,1.31,55.6,9,3.8,2.8,0.22,1.24,"FAIL (PF 1.31, 9 trades)"
WIF,EMA+ADX,1H,1.48,70.0,20,11.1,11.9,0.44,1.50,FAIL (20 trades)
BONK,EMA+ADX,1H,2.32,65.7,35,5.0,40.1,1.06,1.00,PASS
ORCA,EMA+ADX,1H,9.81,80.0,10,2.6,67.1,0.58,1.12,FAIL (10 trades)
RENDER,EMA+ADX,1H,1.00,46.2,26,17.6,-0.1,-0.01,1.01,"FAIL (PF 1.00, 26 trades, NP -0.1%)"
PYTH,EMA+ADX,1H,3.64,73.3,15,3.3,19.8,0.68,1.08,FAIL (15 trades)
SOL,VWAP+ADX,1H,2.88,75.0,16,3.1,15.7,0.88,0.85,FAIL (16 trades)
ETH,VWAP+ADX,1H,3.00,76.9,13,4.4,11.6,0.76,0.81,FAIL (13 trades)
JTO,VWAP+ADX,1H,0.00,0.0,0,0.0,0.0,0.00,0.00,FAIL (no trades)
WIF,VWAP+ADX,1H,0.44,33.3,3,5.3,-5.2,-0.32,0.79,"FAIL (PF 0.44, 3 trades, NP -5.2%)"
BONK,VWAP+ADX,1H,4.13,81.2,16,2.7,22.9,1.08,1.19,FAIL (16 trades)
ORCA,VWAP+ADX,1H,99.00,100.0,2,0.0,3.8,0.66,0.32,FAIL (2 trades)
RENDER,VWAP+ADX,1H,2.33,60.0,10,2.7,9.8,0.60,1.21,FAIL (10 trades)
PYTH,VWAP+ADX,1H,1.38,68.9,45,9.4,13.3,0.36,0.86,FAIL (PF 1.38)
SOL,StRSI+ADX,1H,3.14,81.0,21,3.1,25.0,1.08,0.97,FAIL (21 trades)
ETH,StRSI+ADX,1H,4.59,84.6,13,5.0,20.0,1.10,1.07,FAIL (13 trades)
JTO,StRSI+ADX,1H,99.00,100.0,1,0.0,2.8,0.50,2.00,FAIL (1 trades)
WIF,StRSI+ADX,1H,0.00,0.0,0,0.0,0.0,0.00,0.00,FAIL (no trades)
BONK,StRSI+ADX,1H,2.21,75.0,4,3.7,4.8,0.39,1.25,FAIL (4 trades)
ORCA,StRSI+ADX,1H,0.00,0.0,0,0.0,0.0,0.00,0.00,FAIL (no trades)
RENDER,StRSI+ADX,1H,1.96,58.3,12,9.1,9.5,0.53,1.33,FAIL (12 trades)
PYTH,StRSI+ADX,1H,1.96,69.8,63,8.5,45.6,0.76,0.95,PASS
SOL,RSI Div,1H,0.91,50.0,12,9.8,-1.3,-0.05,1.12,"FAIL (PF 0.91, 12 trades, NP -1.3%)"
ETH,RSI Div,1H,2.38,69.2,13,5.0,12.1,0.69,1.03,FAIL (13 trades)
JTO,RSI Div,1H,0.00,0.0,0,0.0,0.0,0.00,0.00,FAIL (no trades)
WIF,RSI Div,1H,1.00,50.0,2,2.8,-0.0,0.01,1.00,"FAIL (PF 1.00, 2 trades, NP -0.0%)"
BONK,RSI Div,1H,4.55,83.3,6,2.9,11.5,0.77,1.60,FAIL (6 trades)
ORCA,RSI Div,1H,0.00,0.0,0,0.0,0.0,0.00,0.00,FAIL (no trades)
RENDER,RSI Div,1H,7.05,88.9,9,2.6,17.7,1.09,1.22,FAIL (9 trades)
PYTH,RSI Div,1H,0.95,56.5,23,6.6,-1.1,-0.07,0.96,"FAIL (PF 0.95, 23 trades, NP -1.1%)"
SOL,Mean Rev,1H,1.04,61.1,18,10.3,0.7,0.06,0.75,"FAIL (PF 1.04, 18 trades)"
ETH,Mean Rev,1H,2.12,66.7,18,7.2,14.2,0.72,0.90,FAIL (18 trades)
JTO,Mean Rev,1H,0.78,56.2,16,9.4,-4.3,-0.16,0.62,"FAIL (PF 0.78, 16 trades, NP -4.3%)"
WIF,Mean Rev,1H,0.61,47.8,23,21.9,-18.3,-0.43,1.02,"FAIL (PF 0.61, 23 trades, NP -18.3%)"
BONK,Mean Rev,1H,5.66,84.6,13,2.6,26.1,1.25,1.34,FAIL (13 trades)
ORCA,Mean Rev,1H,0.26,76.9,13,53.4,-43.1,-0.30,1.08,"FAIL (PF 0.26, 13 trades, DD 53.4%, NP -43.1%)"
RENDER,Mean Rev,1H,3.89,82.4,17,2.9,28.4,1.17,1.23,FAIL (17 trades)
PYTH,Mean Rev,1H,4.38,82.4,17,4.3,24.5,0.81,1.02,FAIL (17 trades)
