strategy,token,timeframe,sl_mult,tp_mult,pf,win_rate,trades,max_dd,net_profit,sharpe,avg_rr,score,passed,reject_reason
Mean Rev,SOL,1H,1.0,1.5,1.28,70.0,10,4.8,3.6,0.29,1.19,0.4267,True,
Mean Rev,SOL,1H,1.0,2.0,1.11,60.0,10,4.9,1.4,0.14,1.08,0.37,True,
Mean Rev,SOL,1H,1.0,2.5,1.19,60.0,10,4.9,2.4,0.21,1.13,0.3967,True,
Mean Rev,SOL,1H,1.0,3.0,1.74,66.7,9,4.9,7.0,0.54,1.2,0.522,True,
Mean Rev,SOL,1H,1.0,4.0,1.94,66.7,9,4.9,9.1,0.62,1.31,0.582,True,
Mean Rev,SOL,1H,1.0,5.0,2.15,66.7,9,4.9,11.2,0.68,1.43,0.645,True,
Mean Rev,SOL,1H,1.25,1.5,2.02,80.0,10,4.2,7.6,0.69,1.09,0.6733,True,
Mean Rev,SOL,1H,1.25,2.0,1.82,70.0,10,4.3,6.1,0.57,1.02,0.6067,True,
Mean Rev,SOL,1H,1.25,2.5,1.93,70.0,10,4.3,7.0,0.63,1.06,0.6433,True,
Mean Rev,SOL,1H,1.25,3.0,3.59,77.8,9,4.3,11.3,1.02,1.11,1.077,True,
Mean Rev,SOL,1H,1.25,4.0,3.99,77.8,9,4.3,13.0,1.06,1.2,1.197,True,
Mean Rev,SOL,1H,1.25,5.0,4.39,77.8,9,4.3,14.7,1.07,1.29,1.317,True,
Mean Rev,SOL,1H,1.5,2.0,1.71,66.7,9,3.9,4.9,0.5,0.97,0.513,True,
Mean Rev,SOL,1H,1.5,2.5,1.81,66.7,9,3.9,5.6,0.55,1.01,0.543,True,
Mean Rev,SOL,1H,1.5,3.0,3.4,75.0,8,3.9,9.5,0.95,1.05,0.9067,True,
Mean Rev,SOL,1H,1.5,4.0,3.77,75.0,8,3.9,10.9,1.0,1.13,1.0053,True,
Mean Rev,SOL,1H,1.5,5.0,4.13,75.0,8,3.9,12.3,1.02,1.22,1.1013,True,
Mean Rev,SOL,1H,2.0,2.5,13.46,77.8,9,0.7,9.8,1.51,0.77,4.038,True,
Mean Rev,SOL,1H,2.0,3.0,132.64,87.5,8,0.1,10.6,1.61,0.88,35.3707,True,
Mean Rev,SOL,1H,2.0,4.0,146.15,87.5,8,0.1,11.7,1.58,0.94,38.9733,True,
Mean Rev,SOL,1H,2.0,5.0,159.66,87.5,8,0.1,12.8,1.53,1.0,42.576,True,
Mean Rev,SOL,1H,2.5,3.0,110.53,87.5,8,0.1,7.1,1.51,0.69,29.4747,True,
Mean Rev,SOL,1H,2.5,4.0,123.66,87.5,8,0.1,7.9,1.48,0.74,32.976,True,
Mean Rev,SOL,1H,2.5,5.0,136.78,87.5,8,0.1,8.8,1.42,0.79,36.4747,True,
Mean Rev,ETH,1H,1.0,1.5,4.52,81.8,11,3.9,27.5,1.74,1.0,1.6573,True,
Mean Rev,ETH,1H,1.0,2.0,4.52,81.8,11,3.9,27.5,1.74,1.0,1.6573,True,
Mean Rev,ETH,1H,1.0,2.5,4.52,81.8,11,3.9,27.5,1.74,1.0,1.6573,True,
Mean Rev,ETH,1H,1.0,3.0,4.52,81.8,11,3.9,27.5,1.74,1.0,1.6573,True,
Mean Rev,ETH,1H,1.0,4.0,4.52,81.8,11,3.9,27.5,1.74,1.0,1.6573,True,
Mean Rev,ETH,1H,1.0,5.0,4.52,81.8,11,3.9,27.5,1.74,1.0,1.6573,True,
Mean Rev,ETH,1H,1.25,1.5,4.83,81.8,11,3.5,25.4,1.75,1.0,1.771,True,
Mean Rev,ETH,1H,1.25,2.0,4.83,81.8,11,3.5,25.4,1.75,1.0,1.771,True,
Mean Rev,ETH,1H,1.25,2.5,4.83,81.8,11,3.5,25.4,1.75,1.0,1.771,True,
Mean Rev,ETH,1H,1.25,3.0,4.83,81.8,11,3.5,25.4,1.75,1.0,1.771,True,
Mean Rev,ETH,1H,1.25,4.0,4.83,81.8,11,3.5,25.4,1.75,1.0,1.771,True,
Mean Rev,ETH,1H,1.25,5.0,4.83,81.8,11,3.5,25.4,1.75,1.0,1.771,True,
Mean Rev,ETH,1H,1.5,2.0,14.79,80.0,10,0.1,24.5,2.01,0.95,4.93,True,
Mean Rev,ETH,1H,1.5,2.5,14.79,80.0,10,0.1,24.5,2.01,0.95,4.93,True,
Mean Rev,ETH,1H,1.5,3.0,14.79,80.0,10,0.1,24.5,2.01,0.95,4.93,True,
Mean Rev,ETH,1H,1.5,4.0,14.79,80.0,10,0.1,24.5,2.01,0.95,4.93,True,
Mean Rev,ETH,1H,1.5,5.0,14.79,80.0,10,0.1,24.5,2.01,0.95,4.93,True,
Mean Rev,ETH,1H,2.0,2.5,15.25,80.0,10,0.1,17.9,1.85,0.85,5.0833,True,
Mean Rev,ETH,1H,2.0,3.0,15.25,80.0,10,0.1,17.9,1.85,0.85,5.0833,True,
Mean Rev,ETH,1H,2.0,4.0,15.25,80.0,10,0.1,17.9,1.85,0.85,5.0833,True,
Mean Rev,ETH,1H,2.0,5.0,15.25,80.0,10,0.1,17.9,1.85,0.85,5.0833,True,
Mean Rev,ETH,1H,2.5,3.0,11.5,75.0,8,0.1,9.8,1.52,0.79,3.0667,True,
Mean Rev,ETH,1H,2.5,4.0,12.34,75.0,8,0.1,10.7,1.54,0.85,3.2907,True,
Mean Rev,ETH,1H,2.5,5.0,13.17,75.0,8,0.1,11.5,1.52,0.9,3.512,True,
RSI Div,SOL,1H,1.0,1.5,0.3,28.6,7,12.2,-12.2,-0.99,1.07,0.0,False,unprofitable
RSI Div,SOL,1H,1.0,2.0,0.36,28.6,7,11.4,-11.3,-0.88,1.14,0.0,False,unprofitable
RSI Div,SOL,1H,1.0,2.5,0.19,28.6,7,13.9,-13.9,-1.16,0.94,0.0,False,unprofitable
RSI Div,SOL,1H,1.0,3.0,0.19,28.6,7,13.9,-13.9,-1.16,0.94,0.0,False,unprofitable
RSI Div,SOL,1H,1.0,4.0,0.19,28.6,7,13.9,-13.9,-1.16,0.94,0.0,False,unprofitable
RSI Div,SOL,1H,1.0,5.0,0.19,28.6,7,13.9,-13.9,-1.16,0.94,0.0,False,unprofitable
RSI Div,SOL,1H,1.25,1.5,0.09,20.0,5,11.4,-11.4,-1.27,1.04,0.0,False,unprofitable
RSI Div,SOL,1H,1.25,2.0,0.15,20.0,5,10.7,-10.7,-1.15,1.12,0.0,False,unprofitable
RSI Div,SOL,1H,1.25,2.5,0.21,20.0,5,10.0,-10.0,-1.02,1.2,0.0,False,unprofitable
RSI Div,SOL,1H,1.25,3.0,0.27,20.0,5,9.3,-9.3,-0.9,1.28,0.0,False,unprofitable
RSI Div,SOL,1H,1.25,4.0,0.28,20.0,5,9.1,-9.1,-0.87,1.3,0.0,False,unprofitable
RSI Div,SOL,1H,1.25,5.0,0.28,20.0,5,9.1,-9.1,-0.87,1.3,0.0,False,unprofitable
RSI Div,SOL,1H,1.5,2.0,0.13,20.0,5,10.1,-10.1,-1.18,1.07,0.0,False,unprofitable
RSI Div,SOL,1H,1.5,2.5,0.19,20.0,5,9.6,-9.6,-1.07,1.13,0.0,False,unprofitable
RSI Div,SOL,1H,1.5,3.0,0.24,20.0,5,9.0,-9.0,-0.96,1.2,0.0,False,unprofitable
RSI Div,SOL,1H,1.5,4.0,0.25,20.0,5,8.8,-8.8,-0.93,1.22,0.0,False,unprofitable
RSI Div,SOL,1H,1.5,5.0,0.25,20.0,5,8.8,-8.8,-0.93,1.22,0.0,False,unprofitable
RSI Div,SOL,1H,2.0,2.5,0.15,20.0,5,9.0,-9.0,-1.14,1.05,0.0,False,unprofitable
RSI Div,SOL,1H,2.0,3.0,0.2,20.0,5,8.6,-8.6,-1.05,1.1,0.0,False,unprofitable
RSI Div,SOL,1H,2.0,4.0,0.21,20.0,5,8.5,-8.5,-1.03,1.11,0.0,False,unprofitable
RSI Div,SOL,1H,2.0,5.0,0.21,20.0,5,8.5,-8.5,-1.03,1.11,0.0,False,unprofitable
RSI Div,SOL,1H,2.5,3.0,0.63,40.0,5,2.9,-2.1,-0.31,0.91,0.0,False,unprofitable
RSI Div,SOL,1H,2.5,4.0,0.76,40.0,5,2.9,-1.3,-0.18,0.98,0.0,False,unprofitable
RSI Div,SOL,1H,2.5,5.0,0.76,40.0,5,2.9,-1.3,-0.18,0.98,0.0,False,unprofitable
RSI Div,ETH,1H,1.0,1.5,3.69,85.7,7,3.8,11.7,1.08,1.21,0.861,True,
RSI Div,ETH,1H,1.0,2.0,2.89,71.4,7,3.8,10.7,0.93,1.16,0.6743,True,
RSI Div,ETH,1H,1.0,2.5,2.58,71.4,7,3.8,8.9,0.79,1.04,0.602,True,
RSI Div,ETH,1H,1.0,3.0,2.58,71.4,7,3.8,8.9,0.79,1.04,0.602,True,
RSI Div,ETH,1H,1.0,4.0,2.58,71.4,7,3.8,8.9,0.79,1.04,0.602,True,
RSI Div,ETH,1H,1.0,5.0,2.58,71.4,7,3.8,8.9,0.79,1.04,0.602,True,
RSI Div,ETH,1H,1.25,1.5,3.62,85.7,7,3.4,10.2,1.05,1.09,0.8447,True,
RSI Div,ETH,1H,1.25,2.0,2.91,71.4,7,3.4,9.4,0.92,1.04,0.679,True,
RSI Div,ETH,1H,1.25,2.5,2.63,71.4,7,3.4,7.9,0.8,0.94,0.6137,True,
RSI Div,ETH,1H,1.25,3.0,2.63,71.4,7,3.4,7.9,0.8,0.94,0.6137,True,
RSI Div,ETH,1H,1.25,4.0,2.63,71.4,7,3.4,7.9,0.8,0.94,0.6137,True,
RSI Div,ETH,1H,1.25,5.0,2.63,71.4,7,3.4,7.9,0.8,0.94,0.6137,True,
RSI Div,ETH,1H,1.5,2.0,2.92,71.4,7,3.2,8.5,0.91,0.96,0.6813,True,
RSI Div,ETH,1H,1.5,2.5,2.66,71.4,7,3.2,7.3,0.8,0.88,0.6207,True,
RSI Div,ETH,1H,1.5,3.0,2.66,71.4,7,3.2,7.3,0.8,0.88,0.6207,True,
RSI Div,ETH,1H,1.5,4.0,2.66,71.4,7,3.2,7.3,0.8,0.88,0.6207,True,
RSI Div,ETH,1H,1.5,5.0,2.66,71.4,7,3.2,7.3,0.8,0.88,0.6207,True,
RSI Div,ETH,1H,2.0,2.5,2.12,71.4,7,0.6,2.8,0.97,0.59,0.4947,True,
RSI Div,ETH,1H,2.0,3.0,2.12,71.4,7,0.6,2.8,0.97,0.59,0.4947,True,
RSI Div,ETH,1H,2.0,4.0,2.12,71.4,7,0.6,2.8,0.97,0.59,0.4947,True,
RSI Div,ETH,1H,2.0,5.0,2.12,71.4,7,0.6,2.8,0.97,0.59,0.4947,True,
RSI Div,ETH,1H,2.5,3.0,2.34,71.4,7,0.5,2.6,0.96,0.51,0.546,True,
RSI Div,ETH,1H,2.5,4.0,2.34,71.4,7,0.5,2.6,0.96,0.51,0.546,True,
RSI Div,ETH,1H,2.5,5.0,2.34,71.4,7,0.5,2.6,0.96,0.51,0.546,True,
